State,Alzheimer's,Arthritis,AFib,Cancer,CKD,COPD,Diabetes,HF,Hyperlipidemia,Hypertension,IHD,Osteoporosis,Stroke
Tennessee,4016044813.39,5758846239.643693,1946996329.325689,1338311377.7678397,4416096292.572822,2846169165.894837,3762919693.491235,4457004961.41426,6485405811.728399,8328717083.26521,6397118996.328341,875767050.2746959,968025313.6576625
Texas,18499548144.67,22585226338.511288,7279933327.668309,4422094106.953567,15948370588.874836,10487448828.068817,15097312549.84302,18851977547.356525,24393381664.137085,31683421081.222412,25908935264.25177,3777269804.298131,4708510652.552263
Utah,924536706.39,1445663530.5235891,462786897.5655726,313821140.6477076,937490411.2424619,419807485.56400335,856316138.2785003,1023651378.2095178,1224338187.6079533,1874875718.336816,1265740402.7356246,259786171.7673314,200565801.88278115
Vermont,311920782.91,518244521.7612467,204394496.73249063,137462815.02184102,334857053.31492597,216317279.84294543,285627348.3225927,346304479.27994037,547502775.3684412,735757674.0928268,556673632.3936853,89159990.0955241,82126234.36363974
Virginia,4154684964.53,5871216481.548667,2145567710.4153268,1563389565.354499,4573995076.914861,2619099868.243333,3974490414.5041122,4413335637.40348,7373591717.530926,8894637394.016846,6300862442.305051,954787849.883245,1186179222.348431
Washington,2877758801.19,4508175906.865026,1892955947.4306955,1315617778.4766903,3423224791.403455,1956478799.4843967,2861136558.9693522,3498118220.541708,5316106741.174895,6960122071.023963,4667478971.376677,824105602.8440304,833663715.390892
West Virginia,1318761064.31,1925195814.606594,691121388.4165155,439411451.0577326,1408630367.7282517,1078942341.2176838,1277517660.4448633,1491797103.8839679,2242377627.716457,2682945082.3818727,2228005040.6545134,296514557.5300289,329160618.4725876
Wisconsin,2509962072.83,4077498940.0861273,1654498328.2105114,1095506566.3318443,3274909413.7732677,1694754220.5497792,2530566141.208924,3279112841.0067177,4917588842.846464,6073209444.477236,4437840632.674221,806587057.8771319,673237234.5166967
Wyoming,214294972.41,376951716.3677532,128761600.22433896,103351765.38501053,242991602.78756493,179351477.22758952,209433701.28632852,268073904.6036804,347637541.66289026,525204589.06102014,387263275.3987454,74864219.12383361,60688758.25144493
,,,,,,,,,,,,,
Total $pending,194726750929.62,269538922894.1552,100475994878.29129,67901731110.47516,203223498263.38562,126934163044.20271,176772436864.30435,209097021160.21985,319930376570.71625,396963592390.79816,300296554565.88586,46308963058.719666,53347578929.97257
"Total $pending, all diseases",3601294083462.07,,,,,,,,,,,,
Average spending of all diseases,277022621804.78,,,,,,,,,,,,
,,,,,,,,,,,,,
"(realistic) total $spending, all diseases",1800647041731.04,,,,,,,,,,,,
spending / patient / year,32739.04,,,,,,,,,,,,
